,number,value,intermediate_values_0,datetime_start,datetime_complete,duration,params_WEIGHT_DECAY,state
0,0,2.2251993560791017,2.861717462539673,2022-04-28 16:34:54.318951,2022-04-28 16:38:33.763139,0 days 00:03:39.444188,0.0030600000000000002,COMPLETE
1,1,2.0657883315616186,2.550781726837158,2022-04-28 16:38:33.763691,2022-04-28 16:42:13.887773,0 days 00:03:40.124082,0.00265,COMPLETE
